"Natural Gas Consumption by End-Use Sector and Census Division"
"https://www.eia.gov/outlooks/aeo/data/browser/#/?id=77-AEO2017&cases=ref2017&sid=ref2017-d120816a.7-2-AEO2017.1-0~ref2017-d120816a.37-2-AEO2017.1-0~ref2017-d120816a.21-2-AEO2017.1-0~ref2017-d120816a.133-2-AEO2017.1-0&sourcekey=0"
"Sun Oct 14 2018 23:26:42 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"",full name,api key,"units","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044","2045","2046","2047","2048","2049","2050","Growth (2016-2050)"
East North Central,"Natural Gas Use: Industrial: East North Central": Reference case,77-AEO2017.27.ref2017-d120816a,"Tcf",1.169548,1.218651,1.22488,1.32037,1.375717,1.392622,1.412305,1.435293,1.457838,1.465865,1.466185,1.462962,1.45799,1.452603,1.450777,1.448952,1.448823,1.453693,1.457408,1.46319,1.470392,1.485608,1.492085,1.501326,1.511909,1.521429,1.52599,1.534614,1.544183,1.556809,1.567518,1.578205,1.589759,1.600992,1.610777,1.626075,"0.9%"
West North Central,"Natural Gas Use: Industrial: West North Central": Reference case,77-AEO2017.28.ref2017-d120816a,"Tcf",0.782431,0.80247,0.805786,0.762192,0.780015,0.786606,0.7975,0.809453,0.819601,0.823803,0.824274,0.823287,0.821634,0.818697,0.817514,0.817036,0.816896,0.819402,0.821651,0.825238,0.827355,0.832108,0.83523,0.839249,0.844432,0.849073,0.852553,0.856566,0.861387,0.867248,0.873145,0.877943,0.886152,0.892132,0.898571,0.89845,"0.3%"
South Atlantic,"Natural Gas Use: Industrial: South Atlantic": Reference case,77-AEO2017.29.ref2017-d120816a,"Tcf",0.511983,0.527302,0.545638,0.569416,0.587662,0.595076,0.609912,0.62515,0.636153,0.641592,0.646707,0.651445,0.651791,0.65047,0.651309,0.653601,0.65532,0.659379,0.66303,0.668435,0.671792,0.676313,0.68009,0.684573,0.690708,0.696593,0.699719,0.701535,0.704418,0.707682,0.710698,0.713878,0.718325,0.722698,0.728583,0.735148,"1.0%"
East South Central,"Natural Gas Use: Industrial: East South Central": Reference case,77-AEO2017.30.ref2017-d120816a,"Tcf",0.517943,0.526456,0.541095,0.536948,0.552327,0.558669,0.571387,0.586616,0.598475,0.604818,0.609338,0.614001,0.615455,0.614664,0.615196,0.617049,0.618772,0.622937,0.625561,0.63062,0.633989,0.638867,0.642375,0.646376,0.652536,0.657813,0.660666,0.662438,0.664883,0.667813,0.670891,0.673776,0.677574,0.681027,0.686476,0.692242,"0.8%"
West South Central,"Natural Gas Use: Industrial: West South Central": Reference case,77-AEO2017.31.ref2017-d120816a,"Tcf",2.874748,2.856886,2.920957,3.006829,3.081872,3.110715,3.173119,3.254826,3.310726,3.338842,3.357375,3.381113,3.385468,3.383179,3.383305,3.393493,3.404147,3.431074,3.447183,3.480799,3.502105,3.53744,3.555504,3.573047,3.61121,3.640465,3.651295,3.664394,3.673159,3.690439,3.70757,3.725744,3.740802,3.753237,3.785898,3.817614,"0.9%"
Mountain,"Natural Gas Use: Industrial: Mountain": Reference case,77-AEO2017.32.ref2017-d120816a,"Tcf",0.242058,0.250826,0.244022,0.235555,0.240807,0.242995,0.246229,0.250193,0.253505,0.256047,0.257623,0.258404,0.251979,0.252658,0.254949,0.25601,0.255925,0.258024,0.260124,0.26267,0.26514,0.26765,0.270558,0.273922,0.276597,0.279373,0.282426,0.285394,0.288729,0.291943,0.295199,0.298614,0.301777,0.305483,0.309177,0.312905,"0.7%"
Pacific,"Natural Gas Use: Industrial: Pacific": Reference case,77-AEO2017.33.ref2017-d120816a,"Tcf",0.945162,1.006148,0.992931,1.076462,1.084947,1.093531,1.109046,1.124798,1.14296,1.159474,1.167977,1.175859,1.063851,1.079231,1.088665,1.098197,1.093302,1.102423,1.117577,1.12991,1.145482,1.170295,1.192456,1.203103,1.227266,1.228991,1.241909,1.249992,1.260161,1.279741,1.299501,1.317279,1.333844,1.335898,1.356316,1.371691,"0.9%"
Electric Power,"Natural Gas Use: Electric Power: Total": Reference case,77-AEO2017.35.ref2017-d120816a,"Tcf",9.632378,10.106687,9.815942,9.68412,9.179096,8.514071,8.241805,8.020805,7.986823,8.269748,8.626076,8.941627,9.178481,9.37802,9.584655,9.687374,9.622099,9.746418,9.794425,10.068671,10.417576,10.461689,10.683082,10.874405,10.996994,11.040434,11.193134,11.322594,11.410226,11.57257,11.760815,11.901619,12.063394,12.16244,12.20024,12.501599,"0.6%"
New England,"Natural Gas Use: Electric Power: New England": Reference case,77-AEO2017.36.ref2017-d120816a,"Tcf",0.384164,0.407853,0.456628,0.375415,0.358593,0.35777,0.315172,0.271127,0.258735,0.269222,0.29131,0.303335,0.326254,0.333474,0.329375,0.323297,0.310163,0.31455,0.31237,0.308321,0.3149,0.319602,0.32416,0.316572,0.308777,0.298951,0.299107,0.288257,0.300961,0.288893,0.286766,0.295236,0.301107,0.299181,0.306624,0.318223,"-0.7%"
Middle Atlantic,"Natural Gas Use: Electric Power: Middle Atlantic": Reference case,77-AEO2017.37.ref2017-d120816a,"Tcf",1.194638,1.259286,1.369956,1.368102,1.30428,1.259029,1.225132,1.205943,1.21175,1.247426,1.302802,1.344812,1.421074,1.384646,1.377146,1.372856,1.332134,1.333814,1.33155,1.374047,1.439062,1.441437,1.446684,1.445817,1.412766,1.419961,1.403864,1.446438,1.445147,1.484946,1.496402,1.487369,1.505923,1.510436,1.51581,1.55864,"0.6%"
